--------- beginning of system
02-08 22:42:38.224  1029  4888 I ActivityTaskManager: START u0 {flg=0x10000000 cmp=com.YourCompany.TemplateProject3/com.epicgames.ue4.GameActivity} from uid 2000
02-08 22:42:38.256  1029  1053 D ActivityManager: Is background playback GK enabled: false Is background playback enabled for all apps: false
02-08 22:42:38.278  1029  1062 D ActivityManager: Is background playback GK enabled: false Is background playback enabled for all apps: false
02-08 22:42:38.283  1029  1062 I ActivityManager: Start proc 25212:com.YourCompany.TemplateProject3/u0a147 for activity {com.YourCompany.TemplateProject3/com.epicgames.ue4.GameActivity}
02-08 22:46:57.244  4614  4643 D VrRuntimeClient: pokeGuardianUserServiceForThisClient: com.oculus.shellenv:10014
02-08 22:46:57.247  3089  3089 D VrGuardianUserService: onStartCommandIntent { act=FOREGROUND_CLIENT cmp=com.oculus.guardian/com.oculus.vrguardianservice.VrGuardianUserService (has extras) }
02-08 22:46:57.247  3089  3089 D VrGuardianUserService: maybeSubscribeDeviceConfig
02-08 22:46:57.247  3089  3089 D VrGuardianUserService: onStartCommand FOREGROUND_CLIENT user = 0
02-08 22:46:57.248  4614  4643 D VrRuntimeClient: VrRuntimeClient: getClientWindow: activity client
02-08 22:46:57.248  2024  4686 I VrRuntimeService: RuntimeServiceSDKServer::EnableRendering: 0x7a6c8d3200, 2, com.oculus.shellenv
02-08 22:46:57.248  2024  4686 I ClientMgr: EnableRendering2: Calling SetFocusedClient: 1628767958
02-08 22:46:57.248  2024  4686 I ClientMgr: FocusedClient changed.
02-08 22:46:57.248  2024  4686 I ClientMgr: ClientMgr::SetFocusedClient: 4614:com.oculus.shellenv type 0
02-08 22:46:57.248  2024  4686 I ClientMgr: SetFocusedPackageName - packageName com.oculus.shellenv processName com.oculus.shellenv clientId 1628767958 clientPid 4614
02-08 22:46:57.248  2024  4686 I VrRuntimeService: RuntimeIPC: SendFocusChangeEventToAllClients: PostClientEvent SUCCESS: com.oculus.vrshell:com.oculus.vrshell:Overlay:3835, com.oculus.shellenv, com.oculus.shellenv
02-08 22:46:57.249  2024  4686 W REFLECT [RUNTIMEIPC]: ipc_PostClientEvent FAILED: FocusChangeEvent
02-08 22:46:57.249  2024  4686 W VrRuntimeService: RuntimeIPC: SendFocusChangeEventToAllClients: PostClientEvent FAILED: com.oculus.shellenv:com.oculus.shellenv:4614, com.oculus.shellenv, com.oculus.shellenv
02-08 22:46:57.249  2024  4686 I VrRuntimeService: RuntimeIPC: SendFocusChangeEventToAllClients: PostClientEvent SUCCESS: com.oculus.vrshell:com.oculus.vrshell:3797, com.oculus.shellenv, com.oculus.shellenv
02-08 22:46:57.249  2024  4686 W REFLECT [RUNTIMEIPC]: ipc_PostClientEvent FAILED: FocusChangeEvent
02-08 22:46:57.249  2024  4686 W VrRuntimeService: RuntimeIPC: SendFocusChangeEventToAllClients: PostClientEvent FAILED: com.oculus.mrservice:com.oculus.mrservice:3371, com.oculus.shellenv, com.oculus.shellenv
02-08 22:46:57.249  2024  4686 W REFLECT [RUNTIMEIPC]: ipc_PostClientEvent FAILED: FocusChangeEvent
02-08 22:46:57.249  2024  4686 W VrRuntimeService: RuntimeIPC: SendFocusChangeEventToAllClients: PostClientEvent FAILED: native_process.system:/system/bin/mrsystemservice:868, com.oculus.shellenv, com.oculus.shellenv
02-08 22:46:57.249  2024  4686 I VrRuntimeService: RuntimeIPC: SendFocusChangeEventToAllClients: PostClientEvent SUCCESS: com.oculus.xrstreamingclient:com.oculus.xrstreamingclient:21033, com.oculus.shellenv, com.oculus.shellenv
02-08 22:46:57.249  2024  4686 I VrRuntimeService: RuntimeIPC: SendFocusChangeEventToAllClients: PostClientEvent SUCCESS: com.oculus.guardian:com.oculus.vrguardianservice:3089, com.oculus.shellenv, com.oculus.shellenv
02-08 22:46:57.249  2024  4686 I ClientMgr: ClientMgr::EnableRendering 4614:com.oculus.shellenv : type 0 comp-id 6: enable
02-08 22:46:57.249  2024  4686 I CompositorVR: CheckDebuggerConnected: debugger 0
02-08 22:46:57.249  2024  4686 I VrRuntimeServer: SysProp debug mode is disabled on Server side
02-08 22:46:57.249  2024  4686 I UnifiedTelemetryWrapper: Started UT session render:com.oculus.shellenv
02-08 22:46:57.252  3089  3089 D VrGuardianService: setCurrentUser() called with: userId = [0]
02-08 22:46:57.252  3089  3089 I VrGuardianService: nativeSetCurrentUser userid = 0
02-08 22:46:57.253  3089  3089 I GuardianSystem: [GuardianSystem::SetCurrentUser] User ID 0 
02-08 22:46:57.258 21033 21088 D xrstreaming: receive pong: org 21532709188292 recv 44893021551200 xmt 44893022139600 (received at 21532712253813), offset divergence 2354679
02-08 22:46:57.259  2024  3018 I ClientMgr: Non-overlay clients rendering status has changed: prev=232, curr=233, enabled=1
02-08 22:46:57.259  2024  3018 I ClientMgr: Primary Client is not valid.
02-08 22:46:57.259  2024  3018 I ClientMgr: Primary client determined to be the current enabled client 1628767958
02-08 22:46:57.259  2024  3018 I ClientMgr: ClientMgr::SetPrimaryCompositorClient: 4614:com.oculus.shellenv
02-08 22:46:57.260  2024  3018 W ClientMgr: ClientMgr::GetClientPermissionFlagsById: Client missing proper permissions: com.oculus.shellenv, 2
02-08 22:46:57.260  2024  3018 I CompositorClientMgr: Enable client 6
02-08 22:46:57.260  2024  3018 I VrRuntimeServer: EnableCompositorClient client(6): layer placement(0) flags(1) sm(0x7accaa9010)
02-08 22:46:57.260  2024  3018 I ClientMgr: SetPrimaryPackageName - packageName com.oculus.shellenv processName com.oculus.shellenv clientId 1628767958 clientPid 4614
02-08 22:46:57.260  2024  3018 I ServiceInputManager: ServiceInputManager::SetPrimaryPackageName 'com.oculus.shellenv' 'com.oculus.shellenv'  updated AnytimeUI processname 0
02-08 22:46:57.260  2024  3018 I VrRuntimeService: RuntimeIPC: SendPrimaryPackageChangeEvent: PostClientEvent SUCCESS: com.oculus.vrshell:com.oculus.vrshell:Overlay:3835, com.oculus.shellenv, com.oculus.shellenv
02-08 22:46:57.260  2024  3018 W REFLECT [RUNTIMEIPC]: ipc_PostClientEvent FAILED: PackageChangeEvent
02-08 22:46:57.260  2024  3018 W VrRuntimeService: RuntimeIPC: SendPrimaryPackageChangeEvent: PostClientEvent FAILED: com.oculus.shellenv:com.oculus.shellenv:4614, com.oculus.shellenv, com.oculus.shellenv
02-08 22:46:57.260  2024  3018 I VrRuntimeService: RuntimeIPC: SendPrimaryPackageChangeEvent: PostClientEvent SUCCESS: com.oculus.vrshell:com.oculus.vrshell:3797, com.oculus.shellenv, com.oculus.shellenv
02-08 22:46:57.260  2024  3018 W REFLECT [RUNTIMEIPC]: ipc_PostClientEvent FAILED: PackageChangeEvent
02-08 22:46:57.260  2024  3018 W VrRuntimeService: RuntimeIPC: SendPrimaryPackageChangeEvent: PostClientEvent FAILED: com.oculus.mrservice:com.oculus.mrservice:3371, com.oculus.shellenv, com.oculus.shellenv
02-08 22:46:57.260  2024  3018 W REFLECT [RUNTIMEIPC]: ipc_PostClientEvent FAILED: PackageChangeEvent
02-08 22:46:57.260  2024  3018 W VrRuntimeService: RuntimeIPC: SendPrimaryPackageChangeEvent: PostClientEvent FAILED: native_process.system:/system/bin/mrsystemservice:868, com.oculus.shellenv, com.oculus.shellenv
02-08 22:46:57.260  2024  3018 I VrRuntimeService: RuntimeIPC: SendPrimaryPackageChangeEvent: PostClientEvent SUCCESS: com.oculus.xrstreamingclient:com.oculus.xrstreamingclient:21033, com.oculus.shellenv, com.oculus.shellenv
02-08 22:46:57.260  2024  3018 I VrRuntimeService: RuntimeIPC: SendPrimaryPackageChangeEvent: PostClientEvent SUCCESS: com.oculus.guardian:com.oculus.vrguardianservice:3089, com.oculus.shellenv, com.oculus.shellenv
02-08 22:46:57.260  2024  3018 D VrRuntimeService: sendPrimaryPackageChangeBroadcast
02-08 22:46:57.261 21033 21088 D xrstreaming: new clock offset=23360311124347 (rtt: 2477121, dispersion: 3980492, jitter: 3049283)
02-08 22:46:57.266   883  5113 W TrackingService: attachClient: found client in attached list
02-08 22:46:57.267 21033 21115 E OsSdk   : error getting shared memory region, memory type: HeadTracker, failed with Status(-1, EX_SECURITY): 'requested shared memory region when not registered/focused'
02-08 22:46:57.268  3089  3150 I GuardianSystem: [GuardianSystem::InitializeRuntimeEventHandlers] runtimeServiceSDKClient_.ForceShowGuardianEvent
02-08 22:46:57.268  3089  3150 I GuardianSystem: ForceShowGuardian: false, 0.00
02-08 22:46:57.268  3089  3150 I GuardianSystem: [GuardianSystem::InitializeRuntimeEventHandlers] runtimeServiceSDKClient_.PackageChangeEvent: package=[com.oculus.shellenv], process=[com.oculus.shellenv]
02-08 22:46:57.268  3089  3150 I GuardianSystem: SetCurrentProcessName: com.oculus.shellenv, previous ProcessName: com.YourCompany.TemplateProject3
02-08 22:46:57.270  3797  3797 D [SEO] BaseOverlayService: screenStateReceiver Received broadcast: com.oculus.vrshell.intent.action.PRIMARY_PACKAGE_CHANGED
02-08 22:46:57.271  2024  3018 I UnifiedTelemetryWrapper: Setting destination as com.oculus.shellenv
02-08 22:46:57.271  2024  3018 I AADT    : SetAADTLutDataX: 0
02-08 22:46:57.271  2024  3018 I AADT    : SetAADTLutDataY: 0
02-08 22:46:57.271  2024  3018 I ServiceInputManager: InhibitHandleHomeKey has changed on the service. New value: 1
02-08 22:46:57.271  2024  3018 I ServiceInputManager: DEADRECKONING deadReckoning mode on ClientMgr from server is 0
02-08 22:46:57.271  2024  3018 I PerformanceManager_V0: SetClockLevels: Force releasing clocks
02-08 22:46:57.271  2024  3018 I PerformanceManager_V0: SetClockLevels: Apply pending clock request change: 2,3 -> -1,-1
02-08 22:46:57.271  2024  3014 I Clocks  : ReleaseClocks - start
02-08 22:46:57.272  3835  3835 D [OAO] BaseOverlayService: screenStateReceiver Received broadcast: com.oculus.vrshell.intent.action.PRIMARY_PACKAGE_CHANGED
02-08 22:46:57.272  3835  3835 I [OAO] ShellOverlayServiceJNI: NativeSendOverlayCommand
02-08 22:46:57.272  3835  3835 I [OAO] ShellOverlayServiceJNI: NativeWake
02-08 22:46:57.272  3835  3835 I [OAO] ShellOverlayMain: WakeVrThread
02-08 22:46:57.272  3835  3835 I [OAO] ShellOverlayMain: WakeVrThread - notifying vr thread
02-08 22:46:57.273  2149  2532 I OVRMediaService: onStartCommand Received message type: set_package_name, caller package: no_app_identity, app identify: null
02-08 22:46:57.273  2149  2532 I OVRMediaService: Got package name intent (com.oculus.shellenv)
02-08 22:46:57.273  2024  3018 I Vsync   : Adjusting vsync display refresh rate 72.000000 -> 90.000000
02-08 22:46:57.276  2024  3014 I Clocks  : ReleaseClocks - end (4.7 ms)
02-08 22:46:57.280  2024 24843 I AADT    : SetAADTLutDataX. Thread. SizeX: 0
02-08 22:46:57.280  2024 24843 I AADT    : SetAADTLutDataY. Thread. SizeY: 0
02-08 22:46:57.282  4614  4643 I ScreenCaptureHelper: Advertising com.oculus.shellenv as streamable
02-08 22:46:57.283  4614  4643 I VrApi   : OVR::Stats thread started
02-08 22:46:57.283  4614  4643 I XrRuntimeUtils: XrRuntimeUtils::BeginSession
02-08 22:46:57.283  4614  4643 I XrRuntimeSystem_Client: BeginSession
02-08 22:46:57.283  4614  4643 I OpenXR  : ------------ xrBeginSession [end] -----------
02-08 22:46:57.283  4614  4643 I Clay    : Setting CPU/GPU levels= 25/75
02-08 22:46:57.291  4614 25937 I FenceChecker: FenceChecker::MainLoop - started
02-08 22:46:57.292  4614 25935 D VrApi   : targetSDKVersion 29
02-08 22:46:57.294  2024 24843 I CompositorVR: SetSchedFifo( tid=4643, pol=3, pri=0 ) succeeded
02-08 22:46:57.294  2024 24843 I CompositorVR: SetSchedFifo( tid=25937, pol=3, pri=0 ) succeeded
02-08 22:46:57.296  4614  4643 I OpenXR  : PostSessionStateChange: XR_SESSION_STATE_READY -> XR_SESSION_STATE_SYNCHRONIZED
02-08 22:46:57.297  2024  3485 I FocusedClientsListener: focus: onTopActivityChanged: com.YourCompany.TemplateProject3
02-08 22:46:57.297  4614  4643 I Clay    : xrPollEvent: SESSION_STATE_CHANGED: SYNCHRONIZED
02-08 22:46:57.297  4614  4643 I OpenXR  : PostSessionStateChange: XR_SESSION_STATE_SYNCHRONIZED -> XR_SESSION_STATE_VISIBLE
02-08 22:46:57.298  3797  4689 I [SEO] ShellApp: Immersive Activity Changed to: com.YourCompany.TemplateProject3
02-08 22:46:57.298  3371  3486 I [CT]    : MIXEDREALITY: MrServiceController: VrFocusManager::Top Activity Changed, topActivity now is: 'com.YourCompany.TemplateProject3', immersiveApp now is: 'com.YourCompany.TemplateProject3'.
02-08 22:46:57.299  3371  3418 I [CT]    : MIXEDREALITY: MrServiceModel: Hibernating caller (most likely rendering thread) due to commandQueue being empty.
02-08 22:46:57.299  2024  3485 I FocusedClientsListener: focus: onTopActivityChanged: com.YourCompany.TemplateProject3
02-08 22:46:57.299  4614  4643 I OpenXR  : PostSessionStateChange: XR_SESSION_STATE_VISIBLE -> XR_SESSION_STATE_FOCUSED
02-08 22:46:57.300  3797  4689 I [SEO] ShellApp: Immersive Activity Changed to: com.YourCompany.TemplateProject3
02-08 22:46:57.300  3371  3486 I [CT]    : MIXEDREALITY: MrServiceController: VrFocusManager::Top Activity Changed, topActivity now is: 'com.YourCompany.TemplateProject3', immersiveApp now is: 'com.YourCompany.TemplateProject3'.
02-08 22:46:57.300  2024  3485 I FocusedClientsListener: focus: onTopActivityChanged: com.oculus.shellenv
02-08 22:46:57.300  3371  3486 I [CT]    : MIXEDREALITY: MrServiceController: VrFocusManager::Top Activity Changed, topActivity now is: 'com.oculus.shellenv', immersiveApp now is: 'com.oculus.shellenv'.
02-08 22:46:57.301  4614  4643 I Clay    : xrPollEvent: SESSION_STATE_CHANGED: VISIBLE
02-08 22:46:57.301  4614  4643 I Clay    : xrPollEvent: SESSION_STATE_CHANGED: FOCUSED
02-08 22:46:57.303  2149  2532 I OVRMediaServiceManager: Sending onAppStart (com.oculus.shellenv) to SocialPlatform (com.oculus.socialplatform)
02-08 22:46:57.306  3835  3835 I [OAO] ShellOverlayServiceJNI: NativeSendOverlayCommand
02-08 22:46:57.306  3835  3835 I [OAO] ShellOverlayServiceJNI: NativeWake
02-08 22:46:57.306  3835  3835 I [OAO] ShellOverlayMain: WakeVrThread
02-08 22:46:57.306  3835  3835 I [OAO] ShellOverlayMain: WakeVrThread - notifying vr thread
02-08 22:46:57.306  3835  3835 I [OAO] ShellOverlayServiceJNI: NativeSendOverlayCommand
02-08 22:46:57.306  3835  3835 I [OAO] ShellOverlayServiceJNI: NativeWake
02-08 22:46:57.306  3835  3835 I [OAO] ShellOverlayMain: WakeVrThread
02-08 22:46:57.306  3835  3835 I [OAO] ShellOverlayMain: WakeVrThread - notifying vr thread
02-08 22:46:57.306  3835  3835 I [OAO] ShellOverlayServiceJNI: NativeSendOverlayCommand
02-08 22:46:57.306  3835  3835 I [OAO] ShellOverlayServiceJNI: NativeWake
02-08 22:46:57.306  3835  3835 I [OAO] ShellOverlayMain: WakeVrThread
02-08 22:46:57.306  3835  3835 I [OAO] ShellOverlayMain: WakeVrThread - notifying vr thread
02-08 22:46:57.306  3371  3418 I [CT]    : MIXEDREALITY: MrServiceModel: Hibernating caller (most likely rendering thread) due to commandQueue being empty.
02-08 22:46:57.307   883  1020 W TrackingService: attachClient: found client in attached list
02-08 22:46:57.308  2024 24843 I CompositorVR: SetSchedFifo( tid=3418, pol=5, pri=1 ) succeeded
02-08 22:46:57.310 21033 21115 E OsSdk   : error getting shared memory region, memory type: HeadTracker, failed with Status(-1, EX_SECURITY): 'requested shared memory region when not registered/focused'
02-08 22:46:57.310  3797  3797 D [SEO] ShellEnvOverlayService: Message Handler: onResume
02-08 22:46:57.310   883  1020 I chatty  : uid=1000(system) Binder:883_2 identical 1 line
02-08 22:46:57.310  3797  4689 I [SEO] ShellApp: 0xc8f25b08 msg: resume
02-08 22:46:57.310  3797  4689 I [SEO] ShellApp: ---------- ShellApp::EnterVrMode() ----------
02-08 22:46:57.310  3797  4689 D [SEO] ShellApplication: setOverlayInputFocus: inputFocus=true shouldSupportIME=true
02-08 22:46:57.310  3797  4689 D [SEO] BaseOverlayService: setOverlayInputFocus : entrypoint - inputFocus=true shouldSupportIME=true
02-08 22:46:57.310  3797  3797 D [SEO] BaseOverlayService: attachServiceWindowView shouldSupportIME:true
02-08 22:46:57.311  3797  4689 I [SEO] ShellTransitionState: Logging ShellTransitionState to dumpsys: {"state":"Foregrounding","timeMillis":"21532765"}
02-08 22:46:57.311  3797  4689 I [SEO] VrPlatformOpenXr: Setting clock levels to cpu=2, gpu=4
02-08 22:46:57.311  3797  4689 I [SEO] VrPlatformOpenXr: Setting perf thread tids to main=4689, render=unset
02-08 22:46:57.311  3797  4689 I OpenXR  : ------------ xrBeginSession [start] -----------
02-08 22:46:57.311  3797  4689 I VrRuntimeClient: Tracing is disabled
02-08 22:46:57.311  3797  4689 I VrRuntimeClient: SysProp debug mode is disabled on Client side
02-08 22:46:57.312 21033 21115 E OsSdk   : error getting shared memory region, memory type: AnchorTracker, failed with Status(-1, EX_SECURITY): 'requested shared memory region when not registered/focused'
02-08 22:46:57.313 18403 18403 W OVRLibrary: null cursor received for query content://com.oculus.ocms.library/apps/notifications_system_app
02-08 22:46:57.319  3371  3418 I [CT]    : MIXEDREALITY: MrServiceModel: Hibernating caller (most likely rendering thread) due to commandQueue being empty.
02-08 22:46:57.319  3835  3880 I [OAO] ShellOverlayApp: 0xc7b2ab28 msg: overlayCommand:
02-08 22:46:57.319  3835  3880 I [OAO] ShellOverlayApp: command = primaryPackageChanged
02-08 22:46:57.320  3835  3880 I [OAO] ShellOverlayApp: Process_OverlayCommand command : primaryPackageChanged
02-08 22:46:57.320  3835  3880 I [OAO] ShellOverlayApp: UpdatePrimaryPackage forceSilentUpdate:0
02-08 22:46:57.320  3835  3880 I [OAO] ShellOverlayApp: UpdatePrimaryPackage Requested for PackageName:com.oculus.shellenv
02-08 22:46:57.320  3835  3880 I [OAO] OverlayFlowController: OnPrimaryPackageChange primaryPackage:com.oculus.shellenv immersiveAppChanged:1 forceSilentUpdate:0
02-08 22:46:57.320  3835  3880 I [OAO] OverlayFlowController: Non system primary client change: ready to sleep
02-08 22:46:57.320  3835  3880 I [OAO] OverlayFlowController: Reset resetReason : ReturnToShellHome
02-08 22:46:57.320  3835  3880 I [OAO] OverlayDesktopFlow: OverlayDesktopFlow Reset
02-08 22:46:57.320  3835  3880 I [OAO] DesktopPanelControllerAnalytics: DesktopPanelControllerAnalytics flushing telemetry
02-08 22:46:57.320  3835  3880 I [OAO] DesktopPanelControllerAnalytics: DesktopPanelControllerAnalytics flushing telemetry
02-08 22:46:57.320  3835  3880 I [OAO] SystemAssistant: OnModeChanged from ImmersiveAppFocused to FullShell
02-08 22:46:57.327  3835  3880 I [OAO] SystemAssistant: Assistant panel is not active. Command [hide-attention-instant] could not be sent
02-08 22:46:57.327  3835  3880 I [OAO] PanelAppHost: PanelAppHost destructor, panel 16 (com.oculus.systemux/com.oculus.panelapp.anytimeui.AnytimeUIAndroidPanelService)
02-08 22:46:57.327  3835  3880 I [OAO] PanelAppHost: Panel app 16 (com.oculus.systemux/com.oculus.panelapp.anytimeui.AnytimeUIAndroidPanelService) changing state from foreground to shutdown
02-08 22:46:57.327  3835  3880 D [OAO] ShellApplication: Unbinding service for panel app id 16
02-08 22:46:57.327  1029  1592 E WindowManager: App trying to use insecure INPUT_FEATURE_NO_INPUT_CHANNEL flag. Ignoring
02-08 22:46:57.333  2024  2024 I ClientMgr: FocusedWindowChanged: found matching overlay client: 1150992703
02-08 22:46:57.333  2024 22223 I FocusedClientsListener: focus: onVrFocusChanged(focusType=2): 1
02-08 22:46:57.333  2024 22223 I FocusedClientsListener: focus: pid=4614
02-08 22:46:57.333  2024  3127 I FocusedClientsListener: focus: onVrFocusChanged(focusType=1): 5
02-08 22:46:57.333  2024  3127 I FocusedClientsListener: focus: pid=4614
02-08 22:46:57.333  2024  3127 I FocusedClientsListener: focus: pid=3797
02-08 22:46:57.333  2024  3127 I FocusedClientsListener: focus: pid=3835
02-08 22:46:57.333  2024  3127 I FocusedClientsListener: focus: pid=3371
02-08 22:46:57.333  2024  3127 I FocusedClientsListener: focus: pid=3089
02-08 22:46:57.334  2024  3485 I FocusedClientsListener: focus: onVrFocusChanged(focusType=0): 5
02-08 22:46:57.334  2024  3485 I FocusedClientsListener: focus: pid=4614
02-08 22:46:57.334  2024  3485 I FocusedClientsListener: focus: pid=3797
02-08 22:46:57.334  2024  3485 I FocusedClientsListener: focus: pid=3835
02-08 22:46:57.334  2024  3485 I FocusedClientsListener: focus: pid=3371
02-08 22:46:57.334  2024  3485 I FocusedClientsListener: focus: pid=3089
02-08 22:46:57.344  3277  3277 D MetaCam (MediaCapabilityChecker): checkMediaHasRecordingCapabilities packageName: com.oculus.vrshell
02-08 22:46:57.344  3277  3277 D MetaCam (MediaCapabilityChecker): checkMediaHasRecordingCapabilities packageName: com.oculus.vrshell
02-08 22:46:57.346  3797  4689 D VrApi   : targetSDKVersion 29
02-08 22:46:57.347  4614  4614 I DeviceStatus: nativeHeadsetEvent(1)
02-08 22:46:57.347  2149  3206 I OVRMediaServiceManager: Sending onAppStart (com.oculus.shellenv) to SocialPlatform (com.oculus.socialplatform)
02-08 22:46:57.350  4614 25935 I JniUtils: ovr_GetCurrentPackageSignature 
02-08 22:46:57.351  2149  2266 W OVRLibrary: null cursor received for query content://com.oculus.ocms.library/apps/com.oculus.vrshell
02-08 22:46:57.352  4614 25935 I Metrics : device name = Oculus Quest 2
02-08 22:46:57.356   883  1020 W TrackingService: attachClient: found client in attached list
02-08 22:46:57.357   883 24830 W [CT]    : TIMESTAMPCHECKER: Nominal rate wrong. Estimated data rate: 25, Nominal is 30.000300003000028
02-08 22:46:57.358 21033 21115 E OsSdk   : error getting shared memory region, memory type: HeadTracker, failed with Status(-1, EX_SECURITY): 'requested shared memory region when not registered/focused'
02-08 22:46:57.394   895  4673 D VrApiService: refresh-rate changed to 90Hz
02-08 22:46:57.395  2024  3018 I PerformanceManager_V0: SetClockLevels: Apply pending clock request change: -1,-1 -> 2,3
02-08 22:46:57.395  2024  3018 I VrRuntimeServer: DisableCompositorClient: 0
02-08 22:46:57.395  2024  3018 I CompositorClientMgr: Disable client 0
02-08 22:46:57.395  2024  3018 I CompositorClientMgr: DisableClient: frame flush required: 1
02-08 22:46:57.395  1242  1279 I SDM     : HWCDisplayBuiltIn::Validate: Validate +++ enable cac = 0
02-08 22:46:57.395  2024  2024 I ClientMgr: FocusedClient changed.
02-08 22:46:57.395  2024  2024 I ClientMgr: ClientMgr::SetFocusedClient: 3797:com.oculus.vrshell type 1
02-08 22:46:57.395  2024  2024 I ClientMgr: SetFocusedPackageName - packageName com.oculus.vrshell processName com.oculus.vrshell clientId 1150992703 clientPid 3797
02-08 22:46:57.395  2024  2024 I VrRuntimeService: RuntimeIPC: SendFocusChangeEventToAllClients: PostClientEvent SUCCESS: com.oculus.vrshell:com.oculus.vrshell:Overlay:3835, com.oculus.vrshell, com.oculus.vrshell
02-08 22:46:57.395  2024  2024 W REFLECT [RUNTIMEIPC]: ipc_PostClientEvent FAILED: FocusChangeEvent
02-08 22:46:57.395  2024  2024 W VrRuntimeService: RuntimeIPC: SendFocusChangeEventToAllClients: PostClientEvent FAILED: com.oculus.shellenv:com.oculus.shellenv:4614, com.oculus.vrshell, com.oculus.vrshell
02-08 22:46:57.395  2024  2024 I VrRuntimeService: RuntimeIPC: SendFocusChangeEventToAllClients: PostClientEvent SUCCESS: com.oculus.vrshell:com.oculus.vrshell:3797, com.oculus.vrshell, com.oculus.vrshell
02-08 22:46:57.395  2024  2024 W REFLECT [RUNTIMEIPC]: ipc_PostClientEvent FAILED: FocusChangeEvent
02-08 22:46:57.395  2024  2024 W VrRuntimeService: RuntimeIPC: SendFocusChangeEventToAllClients: PostClientEvent FAILED: com.oculus.mrservice:com.oculus.mrservice:3371, com.oculus.vrshell, com.oculus.vrshell
02-08 22:46:57.395  4614  4643 I VrRuntimeClient: Client has lost focus.
02-08 22:46:57.395  2024  2024 W REFLECT [RUNTIMEIPC]: ipc_PostClientEvent FAILED: FocusChangeEvent
02-08 22:46:57.395  2024  2024 W VrRuntimeService: RuntimeIPC: SendFocusChangeEventToAllClients: PostClientEvent FAILED: native_process.system:/system/bin/mrsystemservice:868, com.oculus.vrshell, com.oculus.vrshell
02-08 22:46:57.395  2024  2024 I VrRuntimeService: RuntimeIPC: SendFocusChangeEventToAllClients: PostClientEvent SUCCESS: com.oculus.xrstreamingclient:com.oculus.xrstreamingclient:21033, com.oculus.vrshell, com.oculus.vrshell
02-08 22:46:57.395  2024  2024 I VrRuntimeService: RuntimeIPC: SendFocusChangeEventToAllClients: PostClientEvent SUCCESS: com.oculus.guardian:com.oculus.vrguardianservice:3089, com.oculus.vrshell, com.oculus.vrshell
02-08 22:46:57.395  2024  3014 I Clocks  : LockClocks( cpu=2, gpu=3 ) - start
02-08 22:46:57.398  4614  4643 I OpenXR  : PostSessionStateChange: XR_SESSION_STATE_FOCUSED -> XR_SESSION_STATE_VISIBLE
02-08 22:46:57.400  2024  3014 I Clocks  : CPU levels [0, 7]
02-08 22:46:57.400  2024  3014 I Clocks  : GPU levels [0, 5]
02-08 22:46:57.400  2024  3485 I FocusedClientsListener: focus: onTopActivityChanged: com.oculus.shellenv
02-08 22:46:57.400  3371  3486 I [CT]    : MIXEDREALITY: MrServiceController: VrFocusManager::Top Activity Changed, topActivity now is: 'com.oculus.shellenv', immersiveApp now is: 'com.oculus.shellenv'.
02-08 22:46:57.400  4614  4643 I Clay    : xrPollEvent: SESSION_STATE_CHANGED: VISIBLE
02-08 22:46:57.401  3371  3418 I [CT]    : MIXEDREALITY: MrServiceModel: Hibernating caller (most likely rendering thread) due to commandQueue being empty.
02-08 22:46:57.402   883  5113 W TrackingService: attachClient: found client in attached list
02-08 22:46:57.402  3089  3150 I GuardianSystem: [GuardianSystem::InitializeRuntimeEventHandlers] runtimeServiceSDKClient_.ForceShowGuardianEvent
02-08 22:46:57.403  3089  3150 I GuardianSystem: ForceShowGuardian: false, 0.00
02-08 22:46:57.404 21033 21115 E OsSdk   : error getting shared memory region, memory type: HeadTracker, failed with Status(-1, EX_SECURITY): 'requested shared memory region when not registered/focused'
02-08 22:46:57.408  2024 24843 I CompositorProgs: [0x7ac83d48e0] Built layerProgram 0:0x100000048082:0x0 in 7.5 ms
02-08 22:46:57.412  2024  3014 I Clocks  : LockClocks( cpu=2, gpu=3 ) - end (16.7 ms)
02-08 22:46:57.415  3371  3418 I [CT]    : MIXEDREALITY: MrServiceModel: Hibernating caller (most likely rendering thread) due to commandQueue being empty.
02-08 22:46:57.420  2024 24843 I Vsync   : Vsync 19877:  1 x 11.14 ms (71.83 Hz, at 21532.875)
02-08 22:46:57.431  2024 24843 I Vsync   : Vsync 19878:  1 x 11.14 ms (71.83 Hz, at 21532.886)
02-08 22:46:57.431  3835  3835 D KeyboardInputMethodService: onFinishInput
02-08 22:46:57.433  3835  3835 I [OAO] ShellOverlayServiceJNI: NativeSendOverlayCommand
02-08 22:46:57.442  3835  3835 I [OAO] ShellOverlayServiceJNI: NativeWake
02-08 22:46:57.442  3835  3835 I [OAO] ShellOverlayMain: WakeVrThread
02-08 22:46:57.443  3835  3835 I [OAO] ShellOverlayMain: WakeVrThread - notifying vr thread
02-08 22:46:57.446  4614  4643 I Clay    : xrPollEvent: DISPLAY_REFRESH_RATE_CHANGED_FB: 72.000000 -> 90.000000
02-08 22:46:57.446   883  1020 W TrackingService: attachClient: found client in attached list
02-08 22:46:57.447 21033 21115 E OsSdk   : error getting shared memory region, memory type: HeadTracker, failed with Status(-1, EX_SECURITY): 'requested shared memory region when not registered/focused'
